county,index,region
ALACHUA,1,5
BAKER,2,6
BAY,3,3
BRADFORD,4,1
BREVARD,5,3
BROWARD,6,7
CALHOUN,7,6
CHARLOTTE,8,3
CITRUS,9,1
CLAY,10,4
COLLIER,11,3
COLUMBIA,12,6
DESOTO,13,2
DIXIE,14,2
DUVAL,15,3
ESCAMBIA,16,3
FLAGLER,17,1
FRANKLIN,18,3
GADSDEN,19,2
GILCHRIST,20,2
GLADES,21,4
GULF,22,6
HAMILTON,23,1
HARDEE,24,2
HENDRY,25,4
HERNANDO,26,6
HIGHLANDS,27,4
HILLSBOROUGH,28,6
HOLMES,29,5
INDIAN RIVER,30,2
JACKSON,31,2
JEFFERSON,32,1
LAFAYETTE,33,5
LAKE,34,1
LEE,35,5
LEON,36,6
LEVY,37,2
LIBERTY,38,3
MADISON,39,2
MANATEE,40,2
MARION,41,6
MARTIN,42,3
MIAMI-DADE,43,4
MONROE,44,7
NASSAU,45,7
OKALOOSA,46,3
OKEECHOBEE,47,5
ORANGE,48,7
OSCEOLA,49,1
PALM BEACH,50,6
PASCO,51,5
PINELLAS,52,5
POLK,53,4
PUTNAM,54,4
SANTA ROSA,55,3
SARASOTA,56,3
SEMINOLE,57,5
ST. JOHNS,58,1
ST. LUCIE,59,6
SUMTER,60,2
SUWANNEE,61,4
TAYLOR,62,2
UNION,63,2
VOLUSIA,64,3
WAKULLA,65,5
WALTON,66,1
WASHINGTON,67,1
