region,timePeriod,administeredVaccines
13,8,3.433227539062156e-07
19,8,3.433227539062156e-07
20,8,3.433227539062156e-07
22,8,3.433227539062156e-07
23,2,1.4862527744836905e-10
23,3,1.854100336168404e-10
23,4,2.128137480543675e-10
23,5,2.192485235646239e-10
23,6,2.2044210472581042e-10
23,7,2.1989099946399592e-10
23,8,2.193412719653359e-10
23,9,2.187929187854226e-10
23,10,2.1824593648845905e-10
23,11,2.177003216472379e-10
23,12,2.171560708431198e-10
23,13,2.1661318066601203e-10
23,14,2.16071647714347e-10
31,8,3.433227539062156e-07
32,8,3.433227539062156e-07
36,8,3.433227539062156e-07
37,8,3.433227539062156e-07
60,8,3.433227539062156e-07
64,8,3.433223355386587e-07
